full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Aaron Cresswell                                                                                     ;30;629683200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;West Ham United                                                                                     ;England                                                                                             ;0
Adam Masina                                                                                         ;26;757468800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Italy                                                                                               ;0
Adam Smith                                                                                          ;29;672879600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;1
Adrian Mariappa                                                                                     ;33;528678000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Jamaica                                                                                             ;0
Alberto Moreno                                                                                      ;28;710290800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;Spain                                                                                               ;0
Alfie Jones                                                                                         ;22;876178800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;England                                                                                             ;0
Alfie Mawson                                                                                        ;26;758937600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;England                                                                                             ;0
Ali Koiki                                                                                           ;20;966898800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;0
Andreas Christensen                                                                                 ;24;829090800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Denmark                                                                                             ;0
Andrew Robertson                                                                                    ;26;763344000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;Scotland                                                                                            ;0
Angelo Ogbonna                                                                                      ;32;580345200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;West Ham United                                                                                     ;Italy                                                                                               ;1
Anthony Driscoll-Glennon                                                                            ;20;943574400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;0
Antonio Barreca                                                                                     ;25;795484800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Italy                                                                                               ;0
Antonio Rã¼Diger                                                                                    ;27;731116800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Germany                                                                                             ;1
Antonio Valencia                                                                                    ;35;491958000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;Ecuador                                                                                             ;0
Arthur Masuaku                                                                                      ;26;752630400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;West Ham United                                                                                     ;France                                                                                              ;0
Aymeric Laporte                                                                                     ;26;769993200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;France                                                                                              ;3
Ben Chilwell                                                                                        ;23;851126400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;England                                                                                             ;0
Ben Davies                                                                                          ;27;735606000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;Wales                                                                                               ;0
Ben Gibson                                                                                          ;27;727056000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;1
Ben Mee                                                                                             ;31;622335600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;0
Ben White                                                                                           ;22;876265200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;England                                                                                             ;0
Ben Wilmot                                                                                          ;20;941673600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;England                                                                                             ;0
Benjamin Mendy                                                                                      ;26;774399600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;France                                                                                              ;0
Bernardo                                                                                            ;25;800406000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Brazil                                                                                              ;0
Bruno Saltor Grau                                                                                   ;39;339202800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Spain                                                                                               ;0
Bruno Ã‰Cuã©Lã© Manga                                                                               ;32;585010800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;Gabon                                                                                               ;0
Caglar Sã¶Yã¼Ncã¼                                                                                   ;24;832806000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;Turkey                                                                                              ;0
Callum Paterson                                                                                     ;25;782002800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;Scotland                                                                                            ;4
Calum Chambers                                                                                      ;25;790560000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;England                                                                                             ;2
Cameron John                                                                                        ;21;935449200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Carl Jenkinson                                                                                      ;28;697507200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;England                                                                                             ;0
Cedric Soares                                                                                       ;29;683593200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;Portugal                                                                                            ;1
Cesar Azpilicueta                                                                                   ;31;620262000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Spain                                                                                               ;1
Charlie Daniels                                                                                     ;34;526431600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;1
Charlie Taylor                                                                                      ;27;748306800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;0
