full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Aaron Rowe                                                                                          ;20;968281200;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Aboubakar Kamara                                                                                    ;25;794534400;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Fulham                                                                                              ;France                                                                                              ;3
Adalberto Peã±Aranda Maestre                                                                        ;23;865033200;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Watford                                                                                             ;Venezuela                                                                                           ;0
Adama Diakhaby                                                                                      ;24;836521200;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Huddersfield Town                                                                                   ;France                                                                                              ;0
Ademola Lookman                                                                                     ;22;877302000;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Everton                                                                                             ;England                                                                                             ;0
Aleksandar Mitroviä‡                                                                                ;26;779670000;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Fulham                                                                                              ;Serbia                                                                                              ;11
Alex Iwobi                                                                                          ;24;831078000;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Arsenal                                                                                             ;Nigeria                                                                                             ;3
Alexander Sã¸Rloth                                                                                  ;24;818121600;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Crystal Palace                                                                                      ;Norway                                                                                              ;0
Alexandre Lacazette                                                                                 ;29;675385200;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Arsenal                                                                                             ;France                                                                                              ;13
Alexandre Nascimento Costa Silva                                                                    ;23;858470400;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;West Ham United                                                                                     ;Portugal                                                                                            ;0
Alexis Sanchez                                                                                      ;31;598492800;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Manchester United                                                                                   ;Chile                                                                                               ;1
Alireza Jahanbakhsh                                                                                 ;27;745023600;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Brighton & Hove Albion                                                                              ;Iran                                                                                                ;0
Alvaro Morata                                                                                       ;27;719794800;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Chelsea                                                                                             ;Spain                                                                                               ;5
Andre Gray                                                                                          ;29;677890800;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Watford                                                                                             ;England                                                                                             ;7
Andriy Yarmolenko                                                                                   ;30;625100400;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;West Ham United                                                                                     ;Ukraine                                                                                             ;2
Andy Carroll                                                                                        ;31;600048000;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;West Ham United                                                                                     ;England                                                                                             ;0
Anthony Martial                                                                                     ;24;818121600;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Manchester United                                                                                   ;France                                                                                              ;10
Ashley Barnes                                                                                       ;30;625708800;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Burnley                                                                                             ;England                                                                                             ;12
Ayoze Perez                                                                                         ;27;743900400;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Newcastle United                                                                                    ;Spain                                                                                               ;12
Benjamin Johnson                                                                                    ;20;948672000;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;West Ham United                                                                                     ;England                                                                                             ;0
Bright Enobakhare                                                                                   ;22;886896000;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Callum Roberts                                                                                      ;23;860972400;Premier League                                                                                      ;2018/2019                       ;Forward                                                                                             ;Newcastle United                                                                                    ;England                                                                                             ;0
