full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Aaron Lennon                                                                                        ;33;545526000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;England                                                                                             ;1
Aaron Mooy                                                                                          ;30;653353200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;Australia                                                                                           ;3
Aaron Ramsey                                                                                        ;29;662169600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Wales                                                                                               ;4
Aaron Wan-Bissaka                                                                                   ;22;880502400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;England                                                                                             ;0
Abdelhamid Sabiri                                                                                   ;23;849139200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;Morocco                                                                                             ;0
Abdoulaye Doucourã©                                                                                 ;27;725846400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;France                                                                                              ;5
Adam David Lallana                                                                                  ;32;579222000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;England                                                                                             ;0
Adama Traorã© Diarra                                                                                ;24;822528000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Spain                                                                                               ;1
Adrien Sebastian Perruchet Silva                                                                    ;31;605923200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;Portugal                                                                                            ;0
Ainsley Maitland-Niles                                                                              ;23;872809200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;England                                                                                             ;1
Alex Oxlade-Chamberlain                                                                             ;27;745369200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;England                                                                                             ;0
Alex Pritchard                                                                                      ;27;736383600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;England                                                                                             ;2
Ander Herrera                                                                                       ;31;619052400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;Spain                                                                                               ;2
Andreas Pereira                                                                                     ;24;820454400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;Brazil                                                                                              ;1
Andrew Surman                                                                                       ;34;524876400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Andros Townsend                                                                                     ;29;679618800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;England                                                                                             ;6
Andrã© Filipe Tavares Gomes                                                                         ;27;743986800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;Portugal                                                                                            ;1
Andrã© Schã¼Rrle                                                                                    ;29;657849600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Germany                                                                                             ;6
Andrã©-Frank Zambo Anguissa                                                                         ;24;816480000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Cameroon                                                                                            ;0
Angel Gomes                                                                                         ;20;967676400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;England                                                                                             ;0
Anthony Knockaert                                                                                   ;28;690595200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;France                                                                                              ;2
Aron Einar Gunnarsson                                                                               ;31;609202800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;Iceland                                                                                             ;1
Ashley Westwood                                                                                     ;30;638924400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;England                                                                                             ;2
Ashley Young                                                                                        ;35;489711600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;England                                                                                             ;2
Bakary Sako                                                                                         ;32;578012400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;Mali                                                                                                ;0
Bakayo Sako                                                                                         ;0;0;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;England                                                                                             ;0
Beram Kayal                                                                                         ;32;578530800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;Israel                                                                                              ;1
Bernard Anã­Cio Caldeira Duarte                                                                     ;28;715906800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;Brazil                                                                                              ;1
Bernardo Silva                                                                                      ;26;776473200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Portugal                                                                                            ;7
Bobby Reid                                                                                          ;27;728611200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;England                                                                                             ;5
Callum Hudson-Odoi                                                                                  ;19;973555200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;England                                                                                             ;0
Callum Slattery                                                                                     ;21;918432000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;England                                                                                             ;0
Carlos Sã¡Nchez                                                                                     ;34;508032000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Colombia                                                                                            ;0
Cesc Fabregas                                                                                       ;33;547081200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Spain                                                                                               ;0
Cheikhou Kouyatã©                                                                                   ;30;630201600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;Senegal                                                                                             ;0
Christian Atsu Twasam                                                                               ;28;695001600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;Ghana                                                                                               ;1
Christian Eriksen                                                                                   ;28;698025600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;Denmark                                                                                             ;8
Conor Coady                                                                                         ;27;730598400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Conor Coventry                                                                                      ;20;953942400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Republic Of Ireland                                                                                 ;0
Curtis Jones                                                                                        ;19;980812800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;England                                                                                             ;0
Dale Stephens                                                                                       ;31;613609200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;England                                                                                             ;1
Dan Gosling                                                                                         ;30;633830400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;2
Daniel Amartey                                                                                      ;25;787968000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;Ghana                                                                                               ;0
Daniel Williams                                                                                     ;31;605318400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;Usa                                                                                                 ;0
Danny Drinkwater                                                                                    ;30;636595200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;England                                                                                             ;0
