show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
1029730;Movie  ;Teenage Mutant Ninja Turtles: The Movie                                        ;Steve Barron                                                                                          ;Judith Hoag, Elias Koteas, Josh Pais, Michelan Sisti, Leif Tilden, David Forman, Michael Turney, Jay Patterson, Raymond Serra, James Saito, Kevin Clash                                                                                              ;;January 1, 2020   ;1990;PG      ;94 min  ;Action & Adventure, Comedies                                     ;After exposure to a strange, glowing ooze, four mutant turtles train as ninjas in the sewers and fight crime wherever they find it.                        
1064058;Movie  ;Tremors 2: Aftershocks                                                         ;S.S. Wilson                                                                                           ;Fred Ward, Chris Gartin, Helen Shaver, Michael Gross, Marcelo Tubert, Marco Hernandez, José Ramón Rosario, Thomas Rosales Jr.                                                                                                                      ;;January 1, 2020   ;1995;PG-13   ;100 min ;Comedies, Horror Movies, Sci-Fi & Fantasy                        ;A rag-tag team of survivalists and scientists battle supersucking desert creatures that are worming their way through the oil fields of Mexico.            
22497725;Movie  ;National Lampoon's Loaded Weapon 1                                             ;Gene Quintano                                                                                         ;Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry, Kathy Ireland, Frank McRae, William Shatner, Dhiru Shah, Gokul, Thomas Bruggemann                                                                                                          ;;November 1, 2019  ;1993;PG-13   ;82 min  ;Action & Adventure, Comedies, Independent Movies                 ;In this parody of the Lethal Weapon franchise, criminals murder a detective and steal her prized evidence: microfilm with a recipe for cocaine cookies. Luc
60001407;Movie  ;Jis Desh Men Ganga Behti Hai                                                   ;Radhu Karmakar                                                                                        ;Raj Kapoor, Padmini, Pran, Chanchal, Lalita Pawar, Raj Mehra, Tiwari, Nana Palsikar, Nayampally, Sulochana Chatterjee                                                                                                                                ;;December 31, 2019 ;1960;TV-14   ;181 min ;Action & Adventure, Dramas, International Movies                 ;Falling in with a band of outlaws during a holy pilgrimage, a country boy tries to change their violent ways ahead of a showdown with the authorities.     
60001808;Movie  ;The Naked Gun 2 1/2: The Smell of Fear                                         ;David Zucker                                                                                          ;Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Robert Goulet, Richard Griffiths, Jacqueline Brookes                                                                                                                                ;;January 1, 2020   ;1991;PG-13   ;85 min  ;Comedies                                                         ;Bumbling cop Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that would put them out of business.       
60022041;Movie  ;Tom and Jerry: The Magic Ring                                                  ;Phil Roman                                                                                            ;Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor, Henry Gibson                                                                                                                                                                            ;;December 15, 2019 ;2001;TV-Y7   ;60 min  ;Children & Family Movies, Comedies                               ;When a young wizard leaves Tom to guard his priceless magic ring, Jerry gets the ring stuck on his head, igniting a series of slapstick antics.            
60027945;Movie  ;Prelude to War                                                                 ;Frank Capra                                                                                           ;;United States                                      ;March 31, 2017    ;1942;TV-PG   ;52 min  ;Classic Movies, Documentaries                                    ;Frank Capra's documentary chronicles the rise of authoritarianism in Germany, Italy and Japan as America prepares for a defense of liberty.                
60034116;Movie  ;3 Deewarein                                                                    ;Nagesh Kukunoor                                                                                       ;Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas                                                                                                                                      ;;December 31, 2019 ;2003;TV-MA   ;121 min ;Dramas, International Movies, Thrillers                          ;A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.       
60036691;Movie  ;Paris Is Burning                                                               ;Jennie Livingston                                                                                     ;;United States                                      ;February 1, 2017  ;1990;R       ;77 min  ;Classic Movies, Cult Movies, Documentaries                       ;This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival.       
60036794;TV Show;Sonic X                                                                        ;;Suzanne Goldish, Dan Green, Jason Anthony Griffith, Rebecca Honig, Lisa Ortiz, Amy Palant, Mike Pollock, Jack Quevas                                                                                                                                 ;Japan                                              ; December 1, 2019 ;2004;TV-Y7   ;4 Season;Anime Series, Kids' TV                                           ;While battling the evil Dr. Eggman, Sonic gets caught in an explosion that sends him, his pals and his enemy to the unfamiliar planet Earth. With the help 
70013050;Movie  ;Why We Fight: The Battle of Russia                                             ;Frank Capra, Anatole Litvak                                                                           ;;United States                                      ;March 31, 2017    ;1943;TV-14   ;82 min  ;Documentaries                                                    ;This installment of Frank Capra's acclaimed documentary series highlights the need for a Russo-American alliance to defeat the Nazis.                      
70022548;Movie  ;WWII: Report from the Aleutians                                                ;John Huston                                                                                           ;;United States                                      ;March 31, 2017    ;1943;NR      ;45 min  ;Documentaries                                                    ;Filmmaker John Huston narrates this Oscar-nominated World War II-era film about life among the U.S. soldiers protecting Alaska’s Aleutian Islands.       
70039241;Movie  ;Harlem Globetrotters: The Team That Changed the World                          ;;Chuck D., Harlem Globetrotters                                                                                                                                                                                                                       ;;November 1, 2019  ;2005;TV-14   ;55 min  ;Documentaries, Sports Movies                                     ;Relive the greatest moments of the Harlem Globetrotters with this documentary that chronicles the team's legendary 1948 defeat over the Minneapolis Lakers 
70039783;Movie  ;My Only Mother                                                                 ;Wenn V. Deramas                                                                                       ;Ai-Ai de las Alas, Marvin Agustin, Carlo Aquino, Heart Evangelista, Nikki Valdez, Shaina Magdayao, Serena Dalrymple, Jiro Manio                                                                                                                      ;;March 4, 2019     ;2013;TV-14   ;104 min ;Comedies, Dramas, International Movies                           ;After the untimely demise of her first three husbands, a stoic single mom is left to raise twelve children on her own and provide for her big family.      
70063484;Movie  ;The Secret                                                                     ;Drew Heriot                                                                                           ;;Australia, United States                           ;December 7, 2017  ;2006;TV-PG   ;91 min  ;Documentaries, Faith & Spirituality                              ;An assembly of writers, philosophers and scientists share The Secret, which reputedly brought success to Plato, da Vinci, Einstein and other greats.       
