"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9436";"Casa do Horizonte";"Casa do Horizonte";;"Classificado em auditoria";"8";"5";"0";"Rua S. Martinho, 7 , Rossio do Carvalhal, Bombarral";"2540-422";"Carvalhal Bbr";"Bombarral";"Leiria";"932939821";;"palcd0@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;"CERTIFICADO ENERGETICO";"Patricia Alexandra Luciano da Costa Dias";;"2020";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"9434";"Bela Palace";"Bela Palace";;"Classificado em auditoria";"44";"22";"1";"Rua Chefe António Afonso, nº1";"8800-399";"Tavira";"Tavira";"Faro";"935617511";;"jose.goncalves3@me.com";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Through Planet Unipessoal LDA";;"2021";"Não";"Não"
"Conjunto Turístico";"9432";"Quinta do Crestelo";"Quinta do Crestelo";;"Classificado em projeto";"0";"0";"0";"Av.ª dos Bombeiros Voluntários";"6270-425";"Seia";"Seia";"Guarda";"238320050";"238320051";"quintadocrestelo@quintadocrestelo.pt";"www.quintadocrstelo.pt";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MONTANHAS E RIOS TURISMO LDA";;;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9429";"Quinta do Aido";"Quinta do Aido";;"Classificado em auditoria";"12";"6";"0";"RUA DE PASSOS, 107";"4690-649";"Souselo";"Cinfães";"Viseu";"255561133";"255561133";"GERAL@MARANHAO.PT";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MARANHÃO - SOCIEDADE DE CONSTRUÇÕES L.DA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9425(Em análise pelo Turismo de Portugal, I.P.)";"Chão da Velha - Casas de Campo";"Chão da Velha - Casas de Campo";;"Classificado em projeto";"2";"1";"0";"Rua Principal 17, Chão da Velha";"6050-472";"São Matias Nis";"Nisa";"Portalegre";"913409967";;"turismeficaz@gmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"TURISMEFICAZ - EVENTOS E TURISMO, LDA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9423(Em análise pelo Turismo de Portugal, I.P.)";"Quinta da Lapa do Gato";"Quinta N. Senhora da Assunção";;"Classificado em auditoria";"17";"9";"0";"Rua da Portela nº 14";"3530-301";"Mesquitela Mgl";"Mangualde";"Viseu";"919563863";;"isabelrebelloandrade5@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Região Viseu - Dão Lafões";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ISABEL MARGARIDA DE LIMA MAYER REBELO DE ANDRADE";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9422";"Cantinho da Natureza";"Cantinho da Natureza - Turismo Rural";;"Classificado em auditoria";"12";"6";"0";"Caminho da Levadinha, 1";"9370-634";"Prazeres";"Calheta";"Ilha da Madeira";"960104414";;"ativofixo.geral@gmail.com";"www.cantinhodanatureza.pt";"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ATIVO FIXO - CONSULTORIA IMOBILIARIA & TURISMO SO";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9416(Em análise pelo Turismo de Portugal, I.P.)";"Angra Central Hotel";"Angra Central  Hotel";"***";"Classificado em projeto";"42";"21";"0";"Alto das Covas  29-31";"9700-120";"Angra do Heroísmo";"Angra do Heroísmo";"Ilha Terceira";"295212095";;"angracentralhotel@gamil.com";"www.angracentralhotel.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"Regional";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Angotur Empreendimentos Turísticos, lda";"Outra, ";"2019";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9415(Em análise pelo Turismo de Portugal, I.P.)";"Quinta do Pontão";;;"Classificado em auditoria";"14";"9";"0";"Quinta do Pontão";"5430-603";"Vassal";"Valpaços";"Vila Real";"937187800";;"mcarvalhosousa@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega";;"Não";"---";"0";"Sim";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Manuel João Carvalho de Sousa";;"2004";"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9414";"Camping O Moinho";;"***";"Classificado em projeto";"90";"0";"0";"Bolo - Poço da Corga";"3280-113";"Castanheira de Pêra";"Castanheira de Pêra";"Leiria";"932446432";;"antnev@gmail.com";"www.camping-omoinho.com";"Turismo do Centro de Portugal";"Centro";"Região de Leiria";"2020-10-01->2021-04-01 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Mountain Segment, Lda.";;"2001";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9413";"Quinta do Alves";"Quinta do Alves - Turismo no Espaço Rural";;"Classificado em auditoria";"12";"6";"0";"R. do Fundo da Vila 198";"4595-044";"Arreigada";"Paços de Ferreira";"Porto";"255873093";"255861597";"reservas@quintadoalves.com";"www.quintadoalves.com";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Sim";"80";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Joaquim Leal Ribeiro";;"2002";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9411(Em análise pelo Turismo de Portugal, I.P.)";"Casa da T'Micas";"Casa da T'Micas";;"Classificado em projeto";"3";"3";"1";"Rua Viscondes do Banho nº 38, Casal de Cima";"3560-181";"Sátão";"Sátão";"Viseu";"917266119";;"jmsmoniz@hotmail.com";;"Turismo do Centro de Portugal";"Centro";"Região Viseu - Dão Lafões";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CASA DA T'MICAS SOCIEDADE UNIPESSOAL LDA";"Programa Operacional Regional do Centro, ";"2021";"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9410(Em análise pelo Turismo de Portugal, I.P.)";"Góis Camping";"Góis Camping";"***";"Classificado em auditoria";"358";"0";"0";"Parque Municipal de Campismo - Parque do Castelo";"3330-309";"Góis";"Góis";"Coimbra";"961401859";;"geral@goiscamping.com";;"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";"2020-12-10->2020-12-27 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"TRANS SERRANO - AVENTURA LAZER E TURISMO LDA";;"2015";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9409(Em análise pelo Turismo de Portugal, I.P.)";"Quinta de Marnotos";"Quinta de Marnotos";;"Classificado em auditoria";"2";"2";"0";"Rua Soeiro Pereira Gomes, n.º 943";"4640-252";"Gestaçô";"Baião";"Porto";"935525886";;"info@marnotos.pt";"marnotos.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"QUINTA DE MARNOTOS - TURISMO RURAL LDA";;"2020";"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9405(Em análise pelo Turismo de Portugal, I.P.)";"Sorte Verde Alentejo Tourism";"Sorte Verde Alentejo";"Sem atribuição de *";"Classificado em projeto";"30";"0";"1";"Lugar Paláios";"7200-517";"Campinho";"Reguengos de Monsaraz";"Évora";"266011068";;"info@sorteverdetourism.com";"www.sorteverdetourism.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Sorte Verde Alentejo Tourism Unipessoal Lda";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9404";"Cabanas da Colina";;;"Classificado em auditoria";"6";"0";"0";"Rua da Mata n19 Casais do Avenal";"2540-388";"Carvalhal Bbr";"Bombarral";"Leiria";"912989821";;"irisrocha86@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Oeste";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"IRIS SILVA ROCHA";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9400";"Casa do Monte de Roques";;;"Classificado em auditoria";"10";"0";"0";"Rua Abreu Teixeira, 399";"4905-641";"Vila de Punhe";"Viana do Castelo";"Viana do Castelo";"934927180";;"santa.eulalia.lda@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Sociedade Agrícola Santa Eulália Lda";;;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9395(Em análise pelo Turismo de Portugal, I.P.)";"Casa Ti Mariana";"Casas da Ribeira";;"Classificado em auditoria";"3";"1";"0";"Rua da Laginha Nº8 Póvoa Velha";"6270-373";"Seia";"Seia";"Guarda";"919329475";;"info@casasdaribeira.com";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Sim";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Seductive Winter\, Lda";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9393";"Aldeia da Margarida";"Aldeia da Margarida";;"Classificado em auditoria";"6";"3";"0";"Rua de Sobrado de Baixo, 170";"4690-727";"Tarouquela";"Cinfães";"Viseu";"934845057";;"domingoacetinado@gmail.com";"www.aldeiadamargarida.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"LIVE PORTO & DOURO UNIPESSOAL, LDA";;"2020";"Não";"Não"
