PartitionKey,RowKey,Timestamp,entityid,distritoinfracao,municipioinfracao,a2014ncrimes,a2013ncrimes,a2012ncrimes,a2011ncrimes,a2010ncrimes,a2009ncrimes,a2008ncrimes,a2007ncrimes,a2006ncrimes,a2005ncrimes,a2004ncrimes,a2003ncrimes,a2002ncrimes,a2001ncrimes,a2000ncrimes,a1999ncrimes,a1998ncrimes,a1997ncrimes,a1996ncrimes,a1995ncrimes,a1994ncrimes,a1993ncrimes
Crimesregistados20141993porlocalizacao,635951168253516361,2016-04-01T14:13:46.4027343Z,cdb2a80c-94c6-484e-b775-2a7bc32a89ab,Aveiro,Águeda,1392,1657,1778,1535,1618,1830,1997,1846,1623,1483,1721,1753,1682,1222,904,1027,801,860,956,996,990,804
Crimesregistados20141993porlocalizacao,635951168260391625,2016-04-01T14:13:47.0858381Z,0eb0e3f2-344d-470f-a0f4-69b4378e6ec0,Aveiro,Albergaria-a-Velha,752,844,781,859,844,820,836,748,725,801,704,645,554,460,364,411,344,388,462,431,485,363
Crimesregistados20141993porlocalizacao,635951168262110441,2016-04-01T14:13:47.2588608Z,2a86e90d-f79c-42e1-8ac5-b8248f36c768,Aveiro,Anadia,811,785,1032,886,913,971,1078,910,931,1013,909,972,902,830,731,781,729,692,717,878,929,918
Crimesregistados20141993porlocalizacao,635951168263516745,2016-04-01T14:13:47.4178831Z,171900ce-7b24-4725-8a3d-983006e4a111,Aveiro,Arouca,374,470,403,376,391,340,330,322,238,277,278,380,272,245,233,250,202,214,241,259,222,183
Crimesregistados20141993porlocalizacao,635951168265235561,2016-04-01T14:13:47.5729056Z,a36debeb-71fc-4d57-982f-6aad211bf00c,Aveiro,Aveiro,2495,2614,2865,3466,4161,3876,4576,4054,4361,4211,4185,4576,5471,3946,3756,4329,3635,3498,3289,3353,3265,3112
Crimesregistados20141993porlocalizacao,635951168266641865,2016-04-01T14:13:47.716926Z,85389fe4-ffaf-40fb-bfa4-3ca3dd8db8a7,Aveiro,Castelo de Paiva,369,409,502,503,517,517,513,414,348,430,406,362,321,257,228,153,155,171,189,138,141,132
Crimesregistados20141993porlocalizacao,635951168268360681,2016-04-01T14:13:47.8879519Z,6b770089-6e3b-4ae8-8eef-43d88b486ed5,Aveiro,Espinho,871,946,903,1114,1313,1179,1249,1264,1233,1349,1227,1587,1818,1745,1697,1648,1659,1508,1352,1656,1751,1379
Crimesregistados20141993porlocalizacao,635951168279767369,2016-04-01T14:13:49.0271186Z,d7dbde91-6d28-4afc-afe1-a07fc3b81ba0,Aveiro,Estarreja,1150,1018,1135,1086,1243,1024,1003,999,790,824,713,792,764,696,604,573,544,427,474,400,368,381
Crimesregistados20141993porlocalizacao,635951168281486185,2016-04-01T14:13:49.2021449Z,f63fd5a4-22e5-4c01-b75c-4348d284e3b9,Aveiro,Santa Maria da Feira,3718,4341,4380,4365,4670,4070,3998,3681,3439,4005,4540,4400,4069,3919,3184,2593,2437,2257,2092,1893,1822,1685
Crimesregistados20141993porlocalizacao,635951168282892489,2016-04-01T14:13:49.3481679Z,014aad8e-d303-4121-9b7e-2cfc0e8253ed,Aveiro,Ílhavo,1407,1330,1332,1576,1771,1717,1799,1283,1423,1505,1809,1849,1857,1489,1232,1338,1188,1040,995,1017,1214,991
Crimesregistados20141993porlocalizacao,635951168284767561,2016-04-01T14:13:49.6662152Z,4c6cbc73-3e1f-4c72-a473-5391a15f9b89,Aveiro,Mealhada,478,504,552,635,614,602,784,705,589,719,689,639,536,487,338,421,391,358,322,330,438,483
Crimesregistados20141993porlocalizacao,635951168288517705,2016-04-01T14:13:49.9152539Z,37334b84-6ec2-4a1f-b922-b3e80d3f4054,Aveiro,Murtosa,465,371,385,434,347,340,355,395,347,312,580,473,342,244,300,242,251,207,214,256,212,194
Crimesregistados20141993porlocalizacao,635951168290236521,2016-04-01T14:13:50.0722713Z,b312ff8a-de45-4ac6-8923-226f2c381131,Aveiro,Oliveira de Azeméis,1366,1419,1609,1640,1534,1420,1512,1315,1618,1646,1559,1568,1220,1211,1078,1088,955,857,837,775,783,802
Crimesregistados20141993porlocalizacao,635951168291642825,2016-04-01T14:13:50.2192945Z,dcbd7f81-9420-4e35-b23f-6a1c0b47b296,Aveiro,Oliveira do Bairro,768,924,832,895,982,1089,934,753,868,869,876,979,841,618,558,635,636,551,550,515,572,606
