cod_distrito;cod_concelho;nome_concelho;nome_distrito;a2014ncrimes;a2013ncrimes;a2012ncrimes;a2011ncrimes;a2010ncrimes;a2009ncrimes;a2008ncrimes;a2007ncrimes;a2006ncrimes;a2005ncrimes;a2004ncrimes;a2003ncrimes;a2002ncrimes;a2001ncrimes;a2000ncrimes;a1999ncrimes;a1998ncrimes;a1997ncrimes;a1996ncrimes;a1995ncrimes;a1994ncrimes;a1993ncrimes;Total19932014crimes
1;2;Albergaria-a-Velha;Aveiro;752;844;781;859;844;820;836;748;725;801;704;645;554;460;364;411;344;388;462;431;485;363;13621.0
1;3;Anadia;Aveiro;811;785;1032;886;913;971;1078;910;931;1013;909;972;902;830;731;781;729;692;717;878;929;918;19318.0
1;4;Arouca;Aveiro;374;470;403;376;391;340;330;322;238;277;278;380;272;245;233;250;202;214;241;259;222;183;6500.0
1;5;Aveiro;Aveiro;2495;2614;2865;3466;4161;3876;4576;4054;4361;4211;4185;4576;5471;3946;3756;4329;3635;3498;3289;3353;3265;3112;83094.0
1;6;Castelo de Paiva;Aveiro;369;409;502;503;517;517;513;414;348;430;406;362;321;257;228;153;155;171;189;138;141;132;7175.0
1;7;Espinho;Aveiro;871;946;903;1114;1313;1179;1249;1264;1233;1349;1227;1587;1818;1745;1697;1648;1659;1508;1352;1656;1751;1379;30448.0
1;8;Estarreja;Aveiro;1150;1018;1135;1086;1243;1024;1003;999;790;824;713;792;764;696;604;573;544;427;474;400;368;381;17008.0
1;11;Mealhada;Aveiro;478;504;552;635;614;602;784;705;589;719;689;639;536;487;338;421;391;358;322;330;438;483;11614.0
1;12;Murtosa;Aveiro;465;371;385;434;347;340;355;395;347;312;580;473;342;244;300;242;251;207;214;256;212;194;7266.0
1;13;Oliveira de Azeméis;Aveiro;1366;1419;1609;1640;1534;1420;1512;1315;1618;1646;1559;1568;1220;1211;1078;1088;955;857;837;775;783;802;27812.0
1;14;Oliveira do Bairro;Aveiro;768;924;832;895;982;1089;934;753;868;869;876;979;841;618;558;635;636;551;550;515;572;606;16851.0
1;15;Ovar;Aveiro;1691;1863;2047;2057;1998;1871;2269;1890;2082;2144;2184;2055;1837;1884;1683;1492;1463;1532;1397;1363;1370;1347;39519.0
1;9;Santa Maria da Feira;Aveiro;3718;4341;4380;4365;4670;4070;3998;3681;3439;4005;4540;4400;4069;3919;3184;2593;2437;2257;2092;1893;1822;1685;75558.0
1;17;Sever do Vouga;Aveiro;396;362;395;372;357;365;426;352;359;338;290;273;215;241;213;171;173;120;215;226;178;156;6193.0
1;16;São João da Madeira;Aveiro;726;758;976;1096;1052;1167;1763;1446;1619;1748;1867;1763;1550;1633;1674;1591;1383;1394;1518;1217;945;875;29761.0
1;18;Vagos;Aveiro;500;563;689;762;809;936;762;702;700;773;788;786;648;555;521;621;582;538;579;518;555;385;14272.0
1;19;Vale de Cambra;Aveiro;445;497;447;432;511;467;461;410;552;688;529;624;526;343;315;279;258;262;266;273;230;235;9050.0
1;1;Águeda;Aveiro;1392;1657;1778;1535;1618;1830;1997;1846;1623;1483;1721;1753;1682;1222;904;1027;801;860;956;996;990;804;30475.0
1;10;Ílhavo;Aveiro;1407;1330;1332;1576;1771;1717;1799;1283;1423;1505;1809;1849;1857;1489;1232;1338;1188;1040;995;1017;1214;991;31162.0
2;1;Aljustrel;Beja;219;239;306;217;226;200;223;272;273;288;214;220;227;268;158;180;161;148;121;170;170;113;4613.0
2;2;Almodôvar;Beja;210;167;174;143;188;125;113;132;136;163;176;169;118;151;133;133;102;82;89;99;68;44;2915.0
